year;a;b;c;d;e;f;g;h;i;j;k;l;m;n
1751;8;9;1;8;4;4;2;0;1;4;2;3;1;3
1752;9;4;4;6;3;7;2;1;0;4;4;2;1;1
1753;9;4;0;5;3;0;0;0;0;7;5;0;1;4
1754;7;9;1;6;7;4;4;3;0;4;1;0;1;4
1755;9;10;1;6;5;10;3;1;0;3;2;2;0;5
1756;10;6;0;3;0;5;1;1;0;4;1;3;1;2
1757;5;3;0;1;0;2;1;0;0;0;1;1;1;4
1758;6;0;0;0;0;2;1;1;0;1;4;2;0;3
1759;3;0;0;4;0;4;0;1;0;2;1;3;2;1
1760;4;1;2;9;0;6;0;0;0;2;0;4;1;1
1761;3;3;1;3;2;4;0;0;0;2;1;2;1;5
1762;7;7;2;5;2;8;1;0;0;0;0;0;0;7
1763;8;8;1;10;6;6;0;0;1;1;0;5;0;6
1764;14;2;0;10;4;2;0;1;0;0;0;0;1;6
1765;15;8;0;7;5;6;2;2;0;2;1;4;2;6
1766;17;3;0;6;4;5;2;2;0;2;1;2;1;9
1767;24;5;0;14;6;8;0;1;0;3;1;6;3;7
1768;15;9;0;19;5;11;1;2;0;4;0;6;1;3
1769;26;7;0;12;4;16;2;2;0;2;1;1;3;7
1770;26;8;2;17;11;10;2;6;0;4;2;3;0;7
1771;13;2;1;12;5;5;1;1;0;1;0;4;2;4
1772;17;3;1;6;4;6;1;1;1;2;1;3;1;2
1773;12;5;0;7;5;6;2;5;0;2;3;1;1;4
1774;9;4;0;2;1;3;2;2;1;2;0;2;0;3
1775;17;5;0;4;2;7;3;2;1;3;1;2;0;4
1776;17;3;0;8;3;6;0;5;0;3;0;1;1;3
1777;19;4;2;10;4;13;2;3;0;0;2;1;1;5
1778;12;4;0;3;4;8;2;0;0;1;0;1;2;4
1779;14;5;0;5;6;8;1;4;1;1;0;2;1;2
1780;16;1;0;4;2;3;0;3;4;2;0;2;2;2
1781;6;4;0;4;1;5;3;1;0;1;2;2;0;3
1782;9;5;0;5;2;3;4;2;0;1;2;3;3;1
1783;18;9;4;6;10;6;4;6;5;2;1;2;3;7
1784;13;8;2;11;10;6;4;0;0;3;3;2;4;4
1785;16;5;2;5;10;8;2;3;0;3;3;1;2;2
1786;20;5;2;12;8;4;4;3;0;1;2;1;3;5
1787;18;9;2;20;9;14;2;2;0;1;0;4;6;4
1788;47;12;2;18;19;18;5;1;1;2;0;3;4;5
1789;40;5;3;16;24;21;9;7;2;7;5;7;8;8
1790;15;4;3;9;9;11;4;1;1;3;2;4;3;2
1791;7;2;2;7;8;4;3;2;0;0;2;3;2;1
1792;9;5;5;8;4;6;4;1;1;0;1;1;1;0
1793;7;2;3;2;2;0;0;1;0;0;1;1;0;2
1794;8;1;0;3;2;2;0;0;0;0;0;1;1;0
1795;13;3;1;10;8;4;2;1;1;1;1;2;7;1
1796;23;6;1;11;5;12;1;1;1;3;1;3;3;4
1797;29;7;1;28;9;12;0;5;1;2;0;4;6;4
1798;31;9;2;41;14;17;2;4;0;3;0;5;5;8
1799;56;20;3;60;19;28;4;7;2;12;0;5;13;17
1800;55;7;6;51;17;15;5;8;3;1;2;4;3;9
